ts_code,total_assets_2021,total_liab_2021,accounts_receivable_2021,inventory_2021,goodwill_2021,fixed_assets_2021,total_assets_2022,total_liab_2022,accounts_receivable_2022,inventory_2022,goodwill_2022,fixed_assets_2022,total_assets_2023,total_liab_2023,accounts_receivable_2023,inventory_2023,goodwill_2023,fixed_assets_2023,total_assets_2024,total_liab_2024,accounts_receivable_2024,inventory_2024,goodwill_2024,fixed_assets_2024,total_assets_2025,total_liab_2025,accounts_receivable_2025,inventory_2025,goodwill_2025,fixed_assets_2025
600339.SH,106571536430.72,81346726201.1,0.0,0.0,0.0,0.0,103907626382.25,78273238228.18,0.0,0.0,,0.0,106392058345.49,80151733475.19,0.0,0.0,0.0,0.0,109949976198.6,83340658210.61,0.0,0.0,0.0,0.0,124202247000.58,97352715908.32,0.0,0.0,0.0,0.0
600343.SH,3856555913.19,1486673841.88,0.0,0.0,,0.0,3806526171.66,1557552264.09,0.0,0.0,,0.0,3097558860.94,1234591086.13,0.0,0.0,,0.0,2988938832.6,1387839156.36,0.0,0.0,,0.0,2885343894.67,1513568317.11,0.0,0.0,,0.0
600345.SH,2268423312.13,174589446.58,0.0,0.0,,0.0,2388195266.49,261514302.42,0.0,0.0,,0.0,2741026077.04,320906255.75,0.0,0.0,,0.0,4496221729.69,1039707676.65,0.0,0.0,,0.0,4593675095.36,1072988494.73,0.0,0.0,,0.0
600346.SH,209520894282.23,155208647334.6,0.0,0.0,73886440.92,0.0,246778646135.85,189787083922.67,0.0,0.0,77323123.69,0.0,261941604067.62,203158264550.39,0.0,0.0,77323123.69,0.0,272459938012.68,211110314203.23,0.0,0.0,77323123.69,0.0,274071228646.76,209425020201.41,0.0,0.0,77323123.69,0.0
600348.SH,65382429958.96,39886972546.23,0.0,0.0,,0.0,67877773995.47,38509121666.79,0.0,0.0,,0.0,70304279062.31,38325119296.7,0.0,0.0,,0.0,76864579804.72,41830128253.51,0.0,0.0,,0.0,83309125037.84,44840154336.23,0.0,0.0,,0.0
600350.SH,101906053629.52,64222174410.87,0.0,0.0,,0.0,132261174296.49,81371767879.03,0.0,0.0,627509785.65,0.0,141596113521.36,88416739296.48,0.0,0.0,582910099.03,0.0,156428397055.02,101574799854.53,0.0,0.0,568600268.09,0.0,162946608868.09,104007424937.06,0.0,0.0,361131042.33,0.0
600351.SH,4136535153.47,1211630807.89,0.0,0.0,74567947.32,0.0,4089407356.24,1079916559.16,0.0,0.0,74567947.32,0.0,3971769016.0,891062538.41,0.0,0.0,26268020.2,0.0,3693235028.73,708410928.29,0.0,0.0,26273020.2,0.0,3342721351.58,585773356.92,0.0,0.0,26268020.2,0.0
600352.SH,65494064289.64,32786248016.57,0.0,0.0,144209056.2,0.0,69910138771.75,36426282739.74,0.0,0.0,157870826.35,0.0,69778451854.61,34807998049.34,0.0,0.0,159649702.67,0.0,73987484301.98,36914361079.4,0.0,0.0,133675941.75,0.0,76497730532.43,39154244100.47,0.0,0.0,135544191.29,0.0
600353.SH,1801580936.59,459073027.96,0.0,0.0,64956509.21,0.0,2701634403.21,709490950.2,0.0,0.0,77574309.24,0.0,2849587145.4,985256361.57,0.0,0.0,85691866.89,0.0,3154810264.1,1258625929.09,0.0,0.0,85691866.89,0.0,3547610976.4,1584979571.1,0.0,0.0,85691866.89,0.0
600354.SH,1357413479.78,744809187.17,0.0,0.0,584464.73,0.0,1582756309.77,935624928.06,0.0,0.0,584464.73,0.0,1768221784.84,1071402011.33,0.0,0.0,584464.73,0.0,1885683281.15,1105535904.94,0.0,0.0,584464.73,0.0,1737901033.0,858525086.45,0.0,0.0,584464.73,0.0
600356.SH,3129524805.75,738904489.58,0.0,0.0,,0.0,3100159228.99,666632794.05,0.0,0.0,,0.0,3117597582.27,599754251.34,0.0,0.0,,0.0,3476885981.91,841483591.35,0.0,0.0,,0.0,3699420738.53,948407140.49,0.0,0.0,,0.0
600358.SH,612522229.42,423611478.12,0.0,0.0,55896665.07,0.0,538833481.5,348040919.39,0.0,0.0,37805336.52,0.0,492622695.43,311953257.16,0.0,0.0,28859913.59,0.0,511305441.83,380507341.33,0.0,0.0,27189841.87,0.0,514119492.71,433703215.73,0.0,0.0,18461964.0,0.0
600359.SH,1712815323.46,1183943943.69,0.0,0.0,,0.0,1884959642.51,1291217595.04,0.0,0.0,,0.0,1087853560.69,433039554.8,0.0,0.0,,0.0,1338733304.14,635236915.19,0.0,0.0,,0.0,1532591856.26,839800849.93,0.0,0.0,,0.0
600361.SH,11505302431.35,9405566934.56,0.0,0.0,126164252.52,0.0,11114036439.16,9303393555.25,0.0,0.0,116216691.85,0.0,19654144963.29,9762563192.1,0.0,0.0,,0.0,24445839653.07,13724787783.88,0.0,0.0,,0.0,28379710932.3,17084286342.6,0.0,0.0,,0.0
600362.SH,166139823325.0,94608763354.0,0.0,0.0,1266036306.0,0.0,176149585303.0,98341872453.0,0.0,0.0,1295673661.0,0.0,202199471671.0,112256470862.0,0.0,0.0,1295673661.0,0.0,202913202013.0,117055280880.0,0.0,0.0,1310115783.0,0.0,235502162341.0,143374364088.0,0.0,0.0,1318169298.0,0.0
600363.SH,6104854396.67,2554928207.64,0.0,0.0,,0.0,6794884325.29,2649360819.05,0.0,0.0,,0.0,7617993264.43,3041726814.15,0.0,0.0,,0.0,8233607945.89,3344863536.93,0.0,0.0,,0.0,8778417858.36,3660348582.83,0.0,0.0,,0.0
600366.SH,7005243036.19,2264460105.48,0.0,0.0,,0.0,8430327785.32,3292017197.09,0.0,0.0,,0.0,9022343413.19,3157551301.3,0.0,0.0,1313817.89,0.0,8940801042.2,3038558999.54,0.0,0.0,1313817.89,0.0,10301548197.69,4143536318.39,0.0,0.0,,0.0
600367.SH,2287795034.76,682941453.53,0.0,0.0,,0.0,2708520788.48,767494772.66,0.0,0.0,,0.0,2842532780.99,887059679.7,0.0,0.0,,0.0,3231106775.74,626063431.25,0.0,0.0,,0.0,3305452949.73,549645496.28,0.0,0.0,,0.0
600368.SH,9825912872.21,4673557866.92,0.0,0.0,1124077.08,0.0,9736186054.33,4224644609.38,0.0,0.0,1124077.08,0.0,9627325365.66,3507225006.78,0.0,0.0,1124077.08,0.0,9591921434.45,2936102190.1,0.0,0.0,1124077.08,0.0,10538076516.22,3461277903.79,0.0,0.0,1124077.08,0.0
