ts_code,revenue_2021,oper_cost_2021,revenue_2022,oper_cost_2022,revenue_2023,oper_cost_2023,revenue_2024,oper_cost_2024,revenue_2025,oper_cost_2025
688301.SH,823730410.66,372014663.23,1103884316.02,458137069.08,1396863944.41,576887463.67,1356169734.2,620097796.86,1549045963.79,743782454.91
688095.SH,398763656.75,12359135.87,426838002.5,19686601.39,442518858.5,23058830.83,509202112.48,32014924.65,676292376.66,68963969.09
688330.SH,787458684.98,357156513.93,826807523.0,397611928.94,635759644.31,353480725.62,698300814.93,361755033.6,475093111.92,223251346.62
688313.SH,564582386.45,437489682.36,684640940.16,515867252.75,541138506.89,434126071.61,729306738.13,540868266.97,1560437436.14,1020609085.89
688777.SH,2922436809.74,1756249677.32,4226806480.55,2699204207.73,5679141979.82,3819131823.97,6336966452.06,4255167575.07,5653987901.79,3852191784.05
688256.SH,222418738.96,109538425.32,264364727.71,110605684.22,145810791.32,43977987.56,185306577.18,82963144.64,4607424363.66,2059846551.99
688127.SH,315408764.68,154968426.82,295466254.84,179976581.07,490198742.84,311449409.59,786306603.44,484701767.68,1050900781.41,620844184.22
300972.SZ,247947794.28,257654857.79,359076019.44,305346301.0,4900487114.84,4492826461.88,20613100328.64,18464599524.44,36562310483.49,32289135329.79
003035.SZ,1809586753.36,1064956163.55,2132577451.15,1330409021.86,2195587258.77,1387279786.01,2278625117.76,1471246800.61,2628770972.09,1705759151.35
688595.SH,462704841.83,222047663.65,485735855.25,285784923.12,283866608.6,202638989.62,514372454.94,335855823.72,615128333.86,396980891.28
688551.SH,171912787.39,81187054.18,253364096.85,128562695.41,355001790.37,161165216.18,377239212.77,192476050.68,369789785.36,219015302.46
688383.SH,795764917.12,453046576.02,1005545317.33,561308751.77,824524050.52,539584076.22,769515437.18,494723726.9,593657907.18,388743861.43
688093.SH,301716039.39,113513137.94,354053301.31,136351574.05,390277612.57,156446546.08,566377744.73,245599213.12,845208867.55,356807384.37
600905.SH,11148009591.46,4476956352.08,17406286458.35,6723737358.36,19289043293.68,8625113105.53,21759562595.58,10125599700.72,21280343043.89,11839872346.39
600935.SH,4580531012.69,3298682003.87,5296381070.34,4236224187.74,3949095767.29,3457599488.27,3758257085.01,3446276096.31,3448718630.15,3031665593.53
300946.SZ,346476775.46,238797638.72,376362206.02,269988788.92,406552008.17,287661393.52,441094240.64,302792361.29,478007267.11,340284162.66
688386.SH,210863015.22,106586784.62,245570860.75,133802059.11,288588445.42,157783733.58,352345641.49,182543447.95,500458051.64,270981148.23
688408.SH,1716647760.04,1490124506.19,2258798459.24,1988527448.17,3393113247.41,2832265807.65,5982203145.77,4823270493.95,5377564384.93,4468849053.83
688316.SH,294774584.38,290541272.33,232846582.1,207382780.48,256602942.28,193464179.44,213637495.55,144840831.9,164871507.47,116236464.15
688596.SH,1235239716.68,905142640.93,1803940242.69,1305625560.68,2410895100.75,1728066423.98,3501418831.79,2550011293.17,3292008100.51,2583902751.11
688378.SH,382309307.34,162108898.47,393152147.41,173377804.88,414496131.14,173797108.41,463790658.79,226245107.95,389005051.84,213513940.54
688659.SH,345254358.3,233769035.44,392925961.68,293123403.19,346293319.13,242517005.18,459760507.84,333841832.77,513744078.58,370372841.93
688083.SH,356459476.79,6878819.01,349648105.59,4832066.85,465269020.04,11619797.61,512305768.0,13569132.82,537857274.55,21316508.78
688129.SH,327453709.68,183388385.46,267842325.63,171590754.27,359506014.9,247121142.48,438892003.71,267156259.61,464543460.05,296048744.09
688017.SH,319454952.32,151540031.38,344462004.61,168209031.09,254008574.38,148005227.43,275955021.41,166870363.54,406652949.93,257826646.97
688581.SH,,,182839773.85,69335535.21,345881895.73,106137931.4,427255735.56,119065955.7,459324004.23,135448242.11
688529.SH,826487506.33,606395077.43,1150059749.21,838819982.35,1523574777.84,1081115248.68,1592806074.37,1223124305.46,979740172.33,836247294.64
688578.SH,487850049.98,2900486.64,517717492.02,21888352.47,1347801762.83,51611826.72,2533480109.53,106331871.5,3733017652.99,119761148.73
688308.SH,758828754.58,498281058.7,799597303.52,501529971.1,804660891.43,542789247.96,894969111.33,663777072.73,1023296780.65,823115920.39
688013.SH,152873142.97,65552586.62,168269441.05,66602837.39,181700399.51,78366555.42,202085550.04,84471120.69,243831328.07,89678738.36
688135.SH,271283050.85,127669686.48,336862194.46,207518529.95,375693687.84,256331969.7,360037765.37,271806384.2,443249063.26,327904335.0
300964.SZ,391731008.81,286619837.15,436206500.61,360026064.88,386055485.1,313054160.36,428737794.6,347961370.26,613548637.49,486277890.71
301002.SZ,816005873.73,595026112.38,548151021.58,388799265.39,559296275.66,403009751.53,651825797.19,471326592.67,694045469.21,527016732.41
301171.SZ,,,1867980498.34,1454322745.23,1583508156.33,1199850861.97,1753731209.62,1377093255.54,2717220009.9,2281065408.01
301023.SZ,147567649.49,79433186.52,138650177.62,76069019.05,128487714.65,73583037.98,202264397.23,112631049.79,201633494.3,114495697.11
301036.SZ,1058622234.39,857356851.33,952211432.06,860568774.76,1055473220.57,929614876.57,1167650779.35,971202128.41,1109971346.6,953389881.92
301011.SZ,391661901.07,277072650.46,464714853.82,346534382.53,595006333.61,418470184.2,752048989.63,522310241.2,742011406.26,515916874.08
301029.SZ,1329239020.2,744677341.5,1833232360.92,1092987146.09,2203605503.37,1336316871.4,1857212087.29,1199060947.68,2197120337.5,1329844472.19
300967.SZ,533867246.49,372077230.01,562718292.59,496866667.06,636809823.84,592921964.54,644164797.44,579899297.13,1024119454.44,734721588.2
688536.SH,891011260.15,347620303.56,1468630480.4,609378648.99,813193802.71,377520818.75,848218640.64,428648919.74,1530764511.0,819501256.51
688160.SH,391310028.35,251162897.26,393949231.97,248491641.37,366871619.88,226091064.94,396279121.62,251470017.27,508625985.21,329650329.1
688070.SH,123762198.5,56906330.05,185985403.85,97298890.38,200900142.3,111334579.32,205318388.7,103603773.67,322361495.46,164857270.71
688608.SH,1231234136.46,771597736.1,1169428138.49,704312491.96,1564060240.55,1019156973.35,2473122980.16,1638165535.45,2933471842.03,1803748629.39
688617.SH,593394901.72,178802014.13,887326586.93,257418351.21,1213709560.43,347387027.12,1524828925.89,416428949.37,1867437461.29,500684351.08
688575.SH,857127530.33,371554962.78,3128991671.13,1365621455.77,1544937035.67,720430376.53,1393855060.84,506158634.33,1286711447.77,499275063.36
